Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Cases_28_Days,Deaths_28_Days
Australian Capital Territory,Australia,2023-01-21 12:33:21,-35.4735,149.0124,230238,148,,,,53781.35949544499,,,0.0642813089064359,3601,AUS,,,5336,10
New South Wales,Australia,2023-01-21 12:33:21,-33.8688,151.2093,3867791,6124,,,,47644.629219019465,,,0.1583332708515015,3602,AUS,,,70340,352
Northern Territory,Australia,2023-01-21 12:33:21,-12.4634,130.8456,104234,87,,,,42440.55374592834,,,0.0834660475468657,3603,AUS,,,1447,3
Queensland,Australia,2023-01-21 12:33:21,-27.4698,153.0251,1777135,2574,,,,34740.20134884176,,,0.1448398686650142,3604,AUS,,,33519,169
South Australia,Australia,2023-01-21 12:33:21,-34.9285,138.6007,872378,1224,,,,49665.698832906346,,,0.1403061516911247,3605,AUS,,,19011,80
Tasmania,Australia,2023-01-21 12:33:21,-42.8821,147.3272,284158,240,,,,53064.0522875817,,,0.0844600539136677,3606,AUS,,,7067,18
Victoria,Australia,2023-01-21 12:33:21,-37.8136,144.9631,2858522,6794,,,,43115.61260350835,,,0.2376752741451701,3607,AUS,,,38382,456
Western Australia,Australia,2023-01-21 12:33:21,-31.9505,115.8605,1279806,901,,,,48650.72607009808,,,0.0704012951963031,3608,AUS,,,24211,64
Antwerp,Belgium,2023-01-21 12:33:21,51.2195,4.4024,755679,0,,,,40416.47724537768,,,0.0,5601,BEL,,,3499,0
Brussels,Belgium,2023-01-21 12:33:21,50.8503,4.3517,503339,0,,,,41316.391067551536,,,0.0,5602,BEL,,,1516,0
East Flanders,Belgium,2023-01-21 12:33:21,51.0362,3.7373,635212,0,,,,41646.28209709197,,,0.0,5603,BEL,,,3322,0
Flemish Brabant,Belgium,2023-01-21 12:33:21,50.9167,4.5833,459082,0,,,,39718.37005544871,,,0.0,5604,BEL,,,2277,0
Hainaut,Belgium,2023-01-21 12:33:21,50.5257,4.0621,516050,0,,,,38315.61284191144,,,0.0,5605,BEL,,,2294,0
Liege,Belgium,2023-01-21 12:33:21,50.4496,5.8492,416821,0,,,,37558.208686249774,,,0.0,5606,BEL,,,1254,0
Limburg,Belgium,2023-01-21 12:33:21,50.9739,5.342,347064,0,,,,39557.313334169165,,,0.0,5607,BEL,,,1832,0
Luxembourg,Belgium,2023-01-21 12:33:21,50.0547,5.4677,122326,0,,,,42659.161923892425,,,0.0,5608,BEL,,,390,0
Namur,Belgium,2023-01-21 12:33:21,50.331,4.8221,201754,0,,,,40689.99177140644,,,0.0,5609,BEL,,,701,0
Unknown,Belgium,2023-01-21 12:33:21,,,62923,33525,,,,,,,53.27940498704766,5610,BEL,,,261,297
Walloon Brabant,Belgium,2023-01-21 12:33:21,50.4,4.35,172852,0,,,,42572.39193239725,,,0.0,5611,BEL,,,624,0
West Flanders,Belgium,2023-01-21 12:33:21,51.0536,3.1458,495825,0,,,,41286.23708829297,,,0.0,5612,BEL,,,2709,0
Acre,Brazil,2023-01-21 12:33:21,-9.0238,-70.812,160106,2041,,,,18153.945585559028,,,1.2747804579466104,7601,BRA,,,2326,5
Alagoas,Brazil,2023-01-21 12:33:21,-9.5713,-36.782,336780,7230,,,,10091.21888967827,,,2.146802066631035,7602,BRA,,,3096,45
Amapa,Brazil,2023-01-21 12:33:21,0.902,-52.003,183666,2167,,,,21716.834312565108,,,1.1798590920475212,7603,BRA,,,1230,2
Amazonas,Brazil,2023-01-21 12:33:21,-3.4168,-65.8561,625260,14421,,,,15086.147097051897,,,2.306400537376452,7604,BRA,,,567,8
Bahia,Brazil,2023-01-21 12:33:21,-12.5797,-41.7007,1783192,31349,,,,11989.405814430706,,,1.7580271782287045,7605,BRA,,,22024,220
Ceara,Brazil,2023-01-21 12:33:21,-5.4984,-39.3206,1446481,28091,,,,15839.560284088682,,,1.9420234348048817,7606,BRA,,,13126,36
Distrito Federal,Brazil,2023-01-21 12:33:21,-15.7998,-47.8645,893250,11838,,,,29624.232406538988,,,1.3252728799328295,7607,BRA,,,10218,0
Espirito Santo,Brazil,2023-01-21 12:33:21,-19.1834,-40.3089,1317879,15001,,,,32794.0726363331,,,1.1382683842750358,7608,BRA,,,14889,68
Goias,Brazil,2023-01-21 12:33:21,-15.827,-49.8362,1862817,27885,,,,26542.07809979377,,,1.49692642916615,7609,BRA,,,55990,176
Maranhao,Brazil,2023-01-21 12:33:21,-4.9609,-45.2744,491004,11043,,,,6939.808324338275,,,2.249065180731725,7610,BRA,,,3762,15
Mato Grosso,Brazil,2023-01-21 12:33:21,-12.6819,-56.9211,872602,15067,,,,25042.63207045212,,,1.7266749331310265,7611,BRA,,,18574,65
Mato Grosso do Sul,Brazil,2023-01-21 12:33:21,-20.7722,-54.7852,601158,10969,,,,21632.27882400271,,,1.824645101620539,7612,BRA,,,10498,83
Minas Gerais,Brazil,2023-01-21 12:33:21,-18.5122,-44.555,4122029,64799,,,,19472.198483134915,,,1.5720170818788517,7613,BRA,,,91314,506
Para,Brazil,2023-01-21 12:33:21,-1.9981,-54.9306,864379,18996,,,,10047.571361401117,,,2.197647096933174,7614,BRA,,,4421,53
Paraiba,Brazil,2023-01-21 12:33:21,-7.24,-36.782,703683,10540,,,,17512.711768443358,,,1.497833541523669,7615,BRA,,,7409,31
Parana,Brazil,2023-01-21 12:33:21,-25.2521,-52.0215,2903031,45919,,,,25389.55673875632,,,1.5817605805794013,7616,BRA,,,60513,255
Pernambuco,Brazil,2023-01-21 12:33:21,-8.8137,-36.9541,1138859,22620,,,,11916.402002245248,,,1.9861984670622088,7617,BRA,,,23396,67
Piaui,Brazil,2023-01-21 12:33:21,-7.7183,-42.7289,418951,8052,,,,12799.326169556833,,,1.9219431389351025,7618,BRA,,,7543,46
Rio Grande do Norte,Brazil,2023-01-21 12:33:21,-5.4026,-36.9541,584163,8700,,,,16657.75554321781,,,1.4893103465984665,7620,BRA,,,3482,87
Rio Grande do Sul,Brazil,2023-01-21 12:33:21,-30.0346,-51.2177,2940791,41716,,,,25848.01989305138,,,1.4185299125303363,7621,BRA,,,84095,295
Rio de Janeiro,Brazil,2023-01-21 12:33:21,-22.9068,-43.1729,2719059,76636,,,,15749.018111441204,,,2.81847506802905,7619,BRA,,,30324,296
Rondonia,Brazil,2023-01-21 12:33:21,-11.5057,-63.5806,478445,7418,,,,26920.901967955662,,,1.5504394444502505,7622,BRA,,,11248,30
Roraima,Brazil,2023-01-21 12:33:21,-2.7376,-62.0751,181684,2180,,,,29992.68688476148,,,1.1998855155104466,7623,BRA,,,653,0
Santa Catarina,Brazil,2023-01-21 12:33:21,-27.2423,-50.2189,1971482,22615,,,,27516.26426350647,,,1.147106592908279,7624,BRA,,,24724,61
Sao Paulo,Brazil,2023-01-21 12:33:21,-23.5505,-46.6333,6389460,178178,,,,13914.617439050186,,,2.788623764762593,7625,BRA,,,106151,1058
Sergipe,Brazil,2023-01-21 12:33:21,-10.5741,-37.3857,359383,6497,,,,15634.211744397691,,,1.8078206259060667,7626,BRA,,,2216,16
Tocantins,Brazil,2023-01-21 12:33:21,-10.1753,-48.2982,363257,4220,,,,23095.22870988374,,,1.161711955998095,7627,BRA,,,6217,12
Alberta,Canada,2023-01-21 12:33:21,53.9333,-116.5765,625948,5470,,,,14088.792424911864,,,0.8738745071475585,12401,CAN,,,3520,119
British Columbia,Canada,2023-01-21 12:33:21,53.7267,-127.6476,394366,5007,,,,7562.430426449311,,,1.2696327776735317,12402,CAN,,,2469,201
Diamond Princess,Canada,2023-01-21 12:33:21,,,0,1,,,,,,,,12413,CAN,,,0,0
Grand Princess,Canada,2023-01-21 12:33:21,,,13,0,,,,,,,0.0,12414,CAN,,,0,0
Manitoba,Canada,2023-01-21 12:33:21,53.7609,-98.8139,153919,2394,,,,11123.203723175538,,,1.5553635353660042,12403,CAN,,,412,63
New Brunswick,Canada,2023-01-21 12:33:21,46.5653,-66.4619,86418,749,,,,10949.729164686876,,,0.8667175819852345,12404,CAN,,,1527,114
Newfoundland and Labrador,Canada,2023-01-21 12:33:21,53.1355,-57.6604,54113,295,,,,10395.291161514771,,,0.5451555079186148,12405,CAN,,,199,7
Northwest Territories,Canada,2023-01-21 12:33:21,64.8255,-124.8457,11511,22,,,,25296.677215189877,,,0.1911215359221614,12406,CAN,,,0,0
Nova Scotia,Canada,2023-01-21 12:33:21,44.682,-63.7443,136944,699,,,,13804.073362867986,,,0.5104276200490712,12407,CAN,,,2461,25
Nunavut,Canada,2023-01-21 12:33:21,70.2998,-83.1076,3531,7,,,,8961.246605588407,,,0.1982441234777683,12416,CAN,,,0,0
Ontario,Canada,2023-01-21 12:33:21,51.2538,-85.3232,1573240,15822,,,,10611.160887602524,,,1.0056952531082353,12408,CAN,,,20588,308
Prince Edward Island,Canada,2023-01-21 12:33:21,46.5107,-63.4168,55985,85,,,,34071.13036916223,,,0.151826382066625,12409,CAN,,,666,3
Quebec,Canada,2023-01-21 12:33:21,52.9399,-73.5491,1297408,17854,,,,15078.258514880885,,,1.37612840370955,12410,CAN,,,19688,239
Repatriated Travellers,Canada,2023-01-21 12:33:21,,,13,0,,,,,,,0.0,,,,,0,0
Saskatchewan,Canada,2023-01-21 12:33:21,52.9399,-106.4509,151570,1800,,,,12846.613620105709,,,1.1875700996239362,12411,CAN,,,628,19
Yukon,Canada,2023-01-21 12:33:21,64.2823,-135.0,4989,32,,,,11606.10431303215,,,0.6414111044297455,12412,CAN,,,0,0
Antofagasta,Chile,2023-01-21 12:33:21,-23.6509,-70.3975,181210,1937,,,,29827.137246639693,,,1.068925555984769,15201,CHL,,,4308,18
Araucania,Chile,2023-01-21 12:33:21,-38.9489,-72.3311,289129,2870,,,,30204.946804509706,,,0.9926365048127308,15202,CHL,,,4128,33
Arica y Parinacota,Chile,2023-01-21 12:33:21,-18.594,-69.4785,79126,892,,,,35000.973158518675,,,1.1273159264969794,15203,CHL,,,2051,14
Atacama,Chile,2023-01-21 12:33:21,-27.5661,-70.0503,114489,709,,,,39623.24879561437,,,0.6192734673200045,15204,CHL,,,3985,14
Aysen,Chile,2023-01-21 12:33:21,-45.9864,-73.7669,35395,215,,,,34311.44458015859,,,0.6074304280265574,15205,CHL,,,599,4
Biobio,Chile,2023-01-21 12:33:21,-37.4464,-72.1416,501276,4761,,,,32199.022999026853,,,0.9497761712110694,15206,CHL,,,9185,54
Coquimbo,Chile,2023-01-21 12:33:21,-29.959,-71.3389,207428,1922,,,,27380.125820698904,,,0.9265865746186628,15207,CHL,,,5529,21
Los Lagos,Chile,2023-01-21 12:33:21,-41.9198,-72.1416,239558,2542,,,,28907.40767556244,,,1.061120897653178,15208,CHL,,,2498,35
Los Rios,Chile,2023-01-21 12:33:21,-40.231,-72.3311,145186,1390,,,,37726.62192044944,,,0.957392586062017,15209,CHL,,,2412,20
Magallanes,Chile,2023-01-21 12:33:21,-52.368,-70.9863,66989,771,,,,40225.66098010605,,,1.1509352281717895,15210,CHL,,,926,4
Maule,Chile,2023-01-21 12:33:21,-35.5183,-71.6885,341360,3297,,,,32667.591750801475,,,0.9658425123037264,15211,CHL,,,5446,32
Metropolitana,Chile,2023-01-21 12:33:21,-33.4376,-70.6505,1930585,30642,,,,27142.37471333403,,,1.5871873033303376,15212,CHL,,,35800,244
Nuble,Chile,2023-01-21 12:33:21,-36.7226,-71.7622,154862,1304,,,,32222.034959811404,,,0.8420400098151903,15213,CHL,,,3124,29
OHiggins,Chile,2023-01-21 12:33:21,-34.5755,-71.0022,217438,2807,,,,23775.27868744909,,,1.2909427055068572,15214,CHL,,,3691,29
Tarapaca,Chile,2023-01-21 12:33:21,-19.9232,-69.5132,112632,1164,,,,34073.29424790808,,,1.0334540805454933,15215,CHL,,,3324,9
Unknown,Chile,2023-01-21 12:33:21,,,42,2,,,,,,,4.761904761904762,15217,CHL,,,0,0
Valparaiso,Chile,2023-01-21 12:33:21,-33.0472,-71.6127,482763,6391,,,,26585.30030805627,,,1.3238379908982254,15216,CHL,,,10725,68
Anhui,China,2023-01-21 12:33:21,31.8257,117.2264,2275,7,,,,3.727847715569185,,,0.3076923076923077,15601,CHN,,,575,1
Beijing,China,2023-01-21 12:33:21,40.1824,116.4142,40774,20,,,,186.2413697104041,,,0.0490508657477804,15602,CHN,,,10780,0
Chongqing,China,2023-01-21 12:33:21,30.0572,107.874,14715,11,,,,45.90667937973353,,,0.0747536527353041,15603,CHN,,,3980,4
Fujian,China,2023-01-21 12:33:21,26.0789,117.9874,17122,2,,,,41.21801769981892,,,0.0116808784020558,15604,CHN,,,8823,1
Gansu,China,2023-01-21 12:33:21,35.7518,104.2861,1742,2,,,,6.96247708467735,,,0.1148105625717566,15605,CHN,,,177,0
Guangdong,China,2023-01-21 12:33:21,23.3417,113.4244,103248,10,,,,81.93472219543916,,,0.0096854176352084,15606,CHN,,,36126,2
Guangxi,China,2023-01-21 12:33:21,23.8298,108.7881,13371,2,,,,26.67435171011501,,,0.0149577443721486,15607,CHN,,,10889,0
Guizhou,China,2023-01-21 12:33:21,26.8154,106.8748,2534,2,,,,6.571210711602476,,,0.0789265982636148,15608,CHN,,,739,0
Hainan,China,2023-01-21 12:33:21,19.1959,109.7453,10483,6,,,,103.98530655776992,,,0.0572355241820089,15609,CHN,,,36,0
Hebei,China,2023-01-21 12:33:21,37.8957,114.9042,3292,7,,,,4.412263277283606,,,0.212636695018226,15610,CHN,,,321,0
Heilongjiang,China,2023-01-21 12:33:21,47.862,127.7615,6603,18,,,,20.73149688000862,,,0.2726033621081327,15611,CHN,,,1054,5
Henan,China,2023-01-21 12:33:21,33.882,113.614,9948,23,,,,10.011521199823854,,,0.2312022517088862,15612,CHN,,,792,0
Hong Kong,China,2023-01-21 12:33:21,22.3,114.2,2855317,13081,,,,38086.18874673402,,,0.4581277665492133,344,HKG,,,409615,1679
